Start Station Name,Rides Started
10101 S Stony Island Ave,3
111th St - Morgan Park Metra,7
2112 W Peterson Ave,401
532 E 43rd St,17
63rd & Western Ave - north corner,14
63rd & Western Ave - south corner,6
63rd St Beach,485
83rd St (Avalon Park) Metra,2
900 W Harrison St,3381
Abbott Park,12
Aberdeen St & Jackson Blvd,3483
Aberdeen St & Monroe St,3145
Aberdeen St & Randolph St,3883
Ada St & 113th St,38
Ada St & 117th St,2
Ada St & 119th St,2
Ada St & 79th St,7
Ada St & 95th St,1
Ada St & Washington Blvd,2906
Adler Planetarium,11482
Al Raby School,2
Albany Ave & 103rd St,2
Albany Ave & 111th St - NW,2
Albany Ave & 16th St,126
Albany Ave & 26th St,227
Albany Ave & 63rd St,23
Albany Ave & Belmont Ave,300
Albany Ave & Bloomingdale Ave,2185
Albany Ave & Douglas Blvd,79
Albany Ave & Montrose Ave,805
Altgeld Gardens,73
Archer (Damen) Ave & 37th St,257
Archer Ave & 43rd St,113
Archer Park,10
Artesian Ave & 55th St,173
Artesian Ave & Hubbard St,1131
Ashland Ave & 13th St,582
Ashland Ave & 45th St,3
Ashland Ave & 45th St - midblock south,6
Ashland Ave & 46th St,3
Ashland Ave & 50th St,85
Ashland Ave & 63rd St,124
Ashland Ave & 66th St,25
Ashland Ave & 71st St,2
Ashland Ave & 73rd St,1
Ashland Ave & 74th St,81
Ashland Ave & 76th St,9
Ashland Ave & 78th St,93
Ashland Ave & Archer Ave,585
Ashland Ave & Augusta Blvd,2228
Ashland Ave & Belle Plaine Ave,1583
Ashland Ave & Blackhawk St,3559
Ashland Ave & Chicago Ave,2081
Ashland Ave & Division St,9143
Ashland Ave & Garfield Blvd,109
Ashland Ave & Grace St,3005
Ashland Ave & Grand Ave,2474
Ashland Ave & Lake St,2502
Ashland Ave & McDowell Ave,176
Ashland Ave & Pershing Rd,129
Ashland Ave & Wellington Ave,2448
Ashland Ave & Wrightwood Ave,2836
Augusta Blvd & Laramie Ave,73
Austin Ave & Roscoe St,6
Austin Ave & Wellington Ave - midblock,3
Austin Ave & Wrightwood Ave,12
Austin Blvd & Chicago Ave,160
Austin Blvd & Lake St,325
Austin Blvd & Madison St,189
Austin Blvd & North Ave,3
Austin Branch Chicago Public Library,6
Avenue J & 106th St,4
Avenue J & 112th St,3
Avenue L & 114th St,65
Avenue O & 118th St,114
Avenue O & 134th St,74
Avers Ave & Archer Ave,30
Avers Ave & Belmont Ave,1215
Avers Ave & Irving Park Rd,11
Avondale Ave & Addison St,4
Avondale Ave & Irving Park Rd,1023
Back of the Yards Park,2
Baltimore Ave & 132nd St,3
Baltimore Ave & 133rd St,4
Baltimore Ave & 87th St,121
Base - 2132 W Hubbard,720
Base - 2132 W Hubbard Warehouse,357
Bell Ave & 95th St,19
