Start Station Name,Rides started
111th St - Morgan Park Metra,7
2112 W Peterson Ave,562
532 E 43rd St,17
63rd & Western Ave - south corner,5
63rd St Beach,366
900 W Harrison St,8791
Abbott Park,2
Aberdeen St & Jackson Blvd,8651
Aberdeen St & Monroe St,6847
Aberdeen St & Randolph St,6984
Ada St & 113th St,34
Ada St & 119th St,1
Ada St & Washington Blvd,5334
Adler Planetarium,4604
Albany Ave & 103rd St,1
Albany Ave & 111th St - NW,3
Albany Ave & 16th St,77
Albany Ave & 26th St,153
Albany Ave & 63rd St,4
Albany Ave & Belmont Ave,303
Albany Ave & Bloomingdale Ave,3025
Albany Ave & Douglas Blvd,12
Albany Ave & Montrose Ave,1419
Altgeld Gardens,5
Archer (Damen) Ave & 37th St,312
Archer Ave & 43rd St,96
Archer Park,1
Artesian Ave & 55th St,56
Artesian Ave & Hubbard St,2733
Ashland Ave & 13th St,2822
Ashland Ave & 45th St,5
Ashland Ave & 45th St - midblock south,2
Ashland Ave & 46th St,4
Ashland Ave & 50th St,86
Ashland Ave & 63rd St,89
Ashland Ave & 66th St,36
Ashland Ave & 71st St,4
Ashland Ave & 73rd St,1
Ashland Ave & 74th St,35
Ashland Ave & 76th St,2
Ashland Ave & 78th St,39
Ashland Ave & Archer Ave,763
Ashland Ave & Augusta Blvd,5171
Ashland Ave & Belle Plaine Ave,1814
Ashland Ave & Blackhawk St,6462
Ashland Ave & Chicago Ave,4273
Ashland Ave & Division St,14551
Ashland Ave & Garfield Blvd,41
Ashland Ave & Grace St,4511
Ashland Ave & Grand Ave,3833
Ashland Ave & Lake St,3065
Ashland Ave & McDowell Ave,276
Ashland Ave & Pershing Rd,145
Ashland Ave & Wellington Ave,4582
Ashland Ave & Wrightwood Ave,3725
Augusta Blvd & Laramie Ave,32
Austin Ave & Wellington Ave - midblock,3
Austin Ave & Wrightwood Ave,2
Austin Blvd & Chicago Ave,140
Austin Blvd & Lake St,181
Austin Blvd & Madison St,156
Austin Blvd & North Ave,2
Avenue J & 102nd St,1
Avenue J & 106th St,2
Avenue J & 112th St,1
Avenue L & 114th St,3
Avenue M & 132nd St,2
Avenue O & 118th St,26
Avenue O & 134th St,27
Avers Ave & Archer Ave,2
Avers Ave & Belmont Ave,1228
Avers Ave & Irving Park Rd,10
Avers Ave & Ogden Ave,1
Avondale Ave & Addison St,1
Avondale Ave & Irving Park Rd,1145
Baltimore Ave & 133rd St,2
Baltimore Ave & 87th St,60
Base - 2132 W Hubbard,645
Base - 2132 W Hubbard Warehouse,278
Bell Ave & 95th St,1
Bennett Ave & 79th St,21
Bennett Ave & 96th St,1
Bensley Ave & 103rd St,1
Benson Ave & Church St,3146
Bernard St & Elston Ave,1480
Big Marsh Park,51
Bishop St & 46th St,5
Bissell St & Armitage Ave,4278
Bissell St & Armitage Ave - Charging,14
Bissell St & Armitage Ave*,7251
Blackstone Ave & Hyde Park Blvd,2973
Bloomingdale Ave & Harlem Ave,43
Blue Island Ave & 18th St,3626
Bosworth Ave & Howard St,675
Bradley Park,11
Brandon Ave & 91st St,47
Brighton Park Branch Chicago Library,8
Broadway & Argyle St,5658
Broadway & Barry Ave,17759
Broadway & Belmont Ave,9744
Broadway & Berwyn Ave,5546
Broadway & Cornelia Ave,13283
Broadway & Granville Ave,4432
Broadway & Ridge Ave,5047
Broadway & Sheridan Rd,9831
Broadway & Thorndale Ave,4598
Broadway & Waveland Ave,13958
Broadway & Wilson - Truman College Vaccination Site,5565
Broadway & Wilson Ave,1583
Buckingham Fountain,1168
Buckingham Fountain (Temp),832
Budlong Woods Library,593
Buffalo Ave & 133rd St,1
Burling St & Diversey Pkwy,9583
Burnham Greenway & 105th St,62
Burnham Greenway & 112th St,115
Burnham Harbor,5807
California & 16th St,66
California Ave & 21st St,766
California Ave & 23rd Pl,548
California Ave & 26th St,314
California Ave & 29th St,5
California Ave & 36th St,18
California Ave & Altgeld St,2388
California Ave & Byron St,1493
California Ave & Cortez St,3668
California Ave & Devon Ave - NE,19
California Ave & Devon Ave - NW,6
California Ave & Division St,2328
California Ave & Fletcher St,1652
California Ave & Francis Pl (Temp),2609
California Ave & Lake St,504
California Ave & Marquette Rd,42
California Ave & Milwaukee Ave,7031
California Ave & Montrose Ave,2189
California Ave & North Ave,3111
California Ave & Ogden Ave,2
California Ave & Pershing Rd,4
California Ave & Touhy Ave - NW,4
California Ave & Touhy Ave - SW,1
California Ave & Winona St,435
Calumet Ave & 103rd St,1
Calumet Ave & 18th St,5021
Calumet Ave & 21st St,1730
Calumet Ave & 33rd St,6669
Calumet Ave & 35th St,1883
Calumet Ave & 51st St,629
Calumet Ave & 71st St,22
Calumet Ave & Garfield Blvd,5
Calumet Park,78
Campbell Ave & 51st St,27
Campbell Ave & Fullerton Ave,1928
Campbell Ave & Irving Park Rd,227
Campbell Ave & Montrose Ave,2313
Campbell Ave & Montrose Ave (Temp),157
Campbell Ave & North Ave,3675
Canal St & Adams St,15833
Canal St & Harrison St,2228
Canal St & Jackson Blvd,7914
Canal St & Madison St,10685
Canal St & Monroe St,9299
Canal St & Taylor St,4420
Cannon Dr & Fullerton Ave,2450
Canty Elementary School,2
Carpenter St & 63rd St,16
Carpenter St & Huron St,7212
Central Ave & Chicago Ave,287
Central Ave & Corcoran Pl,5
Central Ave & George St,12
Central Ave & Harrison St,26
Central Ave & Lake St,71
Central Ave & Madison St,127
Central Ave & North Ave,1
Central Ave & Parker Ave,171
Central Ave & Roscoe St,201
Central Park & Augusta Blvd,87
Central Park Ave & 24th St,153
